abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;defense;experience_growth;height_m;hp;name;percentage_male;pokedex_number;sp_attack;sp_defense;speed;type1;type2;weight_kg;generation;is_legendary
['Flame Body', 'Vital Spirit'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;95;6400;70;495;45;57;1000000;13;65;Magmar;754;126;100;85;93;fire;;445;1;0
['Hyper Cutter', 'Mold Breaker', 'Moxie'];1;1;1;1;1;5;2;2;1;5;5;1;1;1;1;2;1;1;155;6400;70;600;45;120;1250000;15;65;Pinsir;50;127;65;90;105;bug;;550;1;0
['Intimidate', 'Anger Point', 'Sheer Force'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;100;5120;70;490;45;95;1250000;14;75;Tauros;100;128;40;70;110;normal;;884;1;0
['Swift Swim', 'Rattled'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;10;1280;70;200;255;55;1250000;9;20;Magikarp;50;129;15;20;80;water;;100;1;0
['Intimidate', 'Moxie'];5;1;1;4;1;5;5;1;1;1;0;1;1;1;1;2;5;5;155;1280;70;640;45;109;1250000;65;95;Gyarados;50;130;70;130;81;water;flying;2350;1;0
['Water Absorb', 'Shell Armor', 'Hydration'];1;1;1;2;1;2;1;1;1;2;1;25;1;1;1;2;1;5;85;10240;70;535;45;80;1250000;25;130;Lapras;50;131;85;95;60;water;ice;2200;1;0
['Limber', 'Imposter'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;48;5120;70;288;35;48;1000000;3;48;Ditto;;132;48;48;48;normal;;40;1;0
['Run Away', 'Adaptability', 'Anticipation'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;55;8960;70;325;45;50;1000000;3;55;Eevee;881;133;45;65;55;normal;;65;1;0
['Water Absorb', 'Hydration'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;8960;70;525;45;60;1000000;10;130;Vaporeon;881;134;110;95;65;water;;290;1;0
['Volt Absorb', 'Quick Feet'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;65;8960;70;525;45;60;1000000;8;65;Jolteon;881;135;110;95;130;electric;;245;1;0
['Flash Fire', 'Guts'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;130;8960;70;525;45;60;1000000;9;65;Flareon;881;136;95;110;65;fire;;250;1;0
['Trace', 'Download', 'Analytic'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;5120;70;395;45;70;1000000;8;65;Porygon;;137;85;75;40;normal;;365;1;0
['Swift Swim', 'Shell Armor', 'Weak Armor'];1;1;1;2;1;2;25;5;1;4;2;5;5;5;1;1;1;1;40;7680;70;355;45;100;1000000;4;35;Omanyte;881;138;90;55;35;rock;water;75;1;0
['Swift Swim', 'Shell Armor', 'Weak Armor'];1;1;1;2;1;2;25;5;1;4;2;5;5;5;1;1;1;1;60;7680;70;495;45;125;1000000;10;70;Omastar;881;139;115;70;55;rock;water;350;1;0
['Swift Swim', 'Battle Armor', 'Weak Armor'];1;1;1;2;1;2;25;5;1;4;2;5;5;5;1;1;1;1;80;7680;70;355;45;90;1000000;5;30;Kabuto;881;140;55;45;55;rock;water;115;1;0
['Swift Swim', 'Battle Armor', 'Weak Armor'];1;1;1;2;1;2;25;5;1;4;2;5;5;5;1;1;1;1;115;7680;70;495;45;105;1000000;13;60;Kabutops;881;141;65;70;80;rock;water;405;1;0
['Rock Head', 'Pressure', 'Unnerve'];5;1;1;2;1;1;5;5;1;1;0;2;5;5;1;2;2;2;135;8960;70;615;45;85;1250000;18;80;Aerodactyl;881;142;70;95;150;rock;flying;590;1;0
['Immunity', 'Thick Fat', 'Gluttony'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;110;10240;70;540;25;65;1250000;21;160;Snorlax;881;143;65;110;30;normal;;4600;1;0
['Pressure', 'Snow Cloak'];5;1;1;2;1;1;2;1;1;5;0;1;1;1;1;4;2;1;85;20480;35;580;3;100;1250000;17;90;Articuno;;144;95;125;85;ice;flying;554;1;1
['Pressure', 'Static'];5;1;1;1;1;5;1;5;1;5;0;2;1;1;1;2;5;1;90;20480;35;580;3;85;1250000;16;90;Zapdos;;145;125;90;100;electric;flying;526;1;1
['Pressure', 'Flame Body'];25;1;1;2;5;5;5;1;1;25;0;1;1;1;1;4;5;2;100;20480;35;580;3;90;1250000;20;90;Moltres;;146;125;85;90;fire;flying;600;1;1
['Shed Skin', 'Marvel Scale'];1;1;2;5;2;1;5;1;1;5;1;2;1;1;1;1;1;5;64;10240;35;300;45;45;1250000;18;41;Dratini;50;147;50;50;50;dragon;;33;1;0
['Shed Skin', 'Marvel Scale'];1;1;2;5;2;1;5;1;1;5;1;2;1;1;1;1;1;5;84;10240;35;420;45;65;1250000;40;61;Dragonair;50;148;70;70;70;dragon;;165;1;0
['Inner Focus', 'Multiscale'];5;1;2;1;2;5;5;1;1;25;0;4;1;1;1;2;1;5;134;10240;35;600;45;95;1250000;22;91;Dragonite;50;149;100;100;80;dragon;flying;2100;1;0
['Pressure', 'Unnerve'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;150;30720;0;780;3;70;1250000;20;106;Mewtwo;;150;194;120;140;psychic;;1220;1;1
['Synchronize'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;100;30720;100;600;45;100;1059860;4;100;Mew;;151;100;100;100;psychic;;40;1;1
['Overgrow', 'Leaf Guard'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;49;5120;70;318;45;65;1059860;9;45;Chikorita;881;152;49;65;45;grass;;64;2;0
['Overgrow', 'Leaf Guard'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;62;5120;70;405;45;80;1059860;12;60;Bayleef;881;153;63;80;60;grass;;158;2;0
['Overgrow', 'Leaf Guard'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;82;5120;70;525;45;100;1059860;18;80;Meganium;881;154;83;100;80;grass;;1005;2;0
['Blaze', 'Flash Fire'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;52;5120;70;309;45;43;1059860;5;39;Cyndaquil;881;155;60;50;65;fire;;79;2;0
['Blaze', 'Flash Fire'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;64;5120;70;405;45;58;1059860;9;58;Quilava;881;156;80;65;80;fire;;190;2;0
['Blaze', 'Flash Fire'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;84;5120;70;534;45;78;1059860;17;78;Typhlosion;881;157;109;85;100;fire;;795;2;0
['Torrent', 'Sheer Force'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;5120;70;314;45;64;1059860;6;50;Totodile;881;158;44;48;43;water;;95;2;0
['Torrent', 'Sheer Force'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;80;5120;70;405;45;80;1059860;11;65;Croconaw;881;159;59;63;58;water;;250;2;0
['Torrent', 'Sheer Force'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;105;5120;70;530;45;100;1059860;23;85;Feraligatr;881;160;79;83;78;water;;888;2;0
['Run Away', 'Keen Eye', 'Frisk'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;46;3840;70;215;255;34;1000000;8;35;Sentret;50;161;35;45;20;normal;;60;2;0
['Run Away', 'Keen Eye', 'Frisk'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;76;3840;70;415;90;64;1000000;18;85;Furret;50;162;45;55;90;normal;;325;2;0
['Insomnia', 'Keen Eye', 'Tinted Lens'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;30;3840;70;262;255;30;1000000;7;60;Hoothoot;50;163;36;56;50;normal;flying;212;2;0
['Insomnia', 'Keen Eye', 'Tinted Lens'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;50;3840;70;452;90;50;1000000;16;100;Noctowl;50;164;86;96;70;normal;flying;408;2;0
['Swarm', 'Early Bird', 'Rattled'];5;1;1;2;1;25;2;2;1;25;0;2;1;1;1;4;1;1;20;3840;70;265;255;30;800000;10;40;Ledyba;50;165;40;80;55;bug;flying;108;2;0
['Swarm', 'Early Bird', 'Iron Fist'];5;1;1;2;1;25;2;2;1;25;0;2;1;1;1;4;1;1;35;3840;70;390;90;50;800000;14;55;Ledian;50;166;55;110;85;bug;flying;356;2;0
['Swarm', 'Insomnia', 'Sniper'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;60;3840;70;250;255;40;800000;5;40;Spinarak;50;167;40;40;30;bug;poison;85;2;0
['Swarm', 'Insomnia', 'Sniper'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;90;3840;70;400;90;70;800000;11;70;Ariados;50;168;60;70;40;bug;poison;335;2;0
['Inner Focus', 'Infiltrator'];25;1;1;2;5;25;1;1;1;25;0;2;1;5;2;2;1;1;90;3840;70;535;90;80;1000000;18;85;Crobat;50;169;70;80;130;poison;flying;750;2;0
['Volt Absorb', 'Illuminate', 'Water Absorb'];1;1;1;1;1;1;5;5;1;2;2;5;1;1;1;1;25;5;38;5120;70;330;190;38;1250000;5;75;Chinchou;50;170;56;56;67;water;electric;120;2;0
['Volt Absorb', 'Illuminate', 'Water Absorb'];1;1;1;1;1;1;5;5;1;2;2;5;1;1;1;1;25;5;58;5120;70;460;75;58;1250000;12;125;Lanturn;50;171;76;76;67;water;electric;225;2;0
['Static', 'Lightningrod'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;40;2560;70;205;190;15;1000000;3;20;Pichu;50;172;35;35;60;electric;;20;2;0
['Cute Charm', 'Magic Guard', 'Friend Guard'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;25;2560;140;218;150;28;800000;3;50;Cleffa;246;173;45;55;15;fairy;;30;2;0
['Cute Charm', 'Competitive', 'Friend Guard'];5;5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;30;2560;70;210;170;15;800000;3;90;Igglybuff;246;174;40;20;15;normal;fairy;10;2;0
['Hustle', 'Serene Grace', 'Super Luck'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;20;2560;70;245;190;65;800000;3;35;Togepi;881;175;40;65;20;fairy;;15;2;0
['Hustle', 'Serene Grace', 'Super Luck'];25;5;0;2;1;25;1;1;1;5;0;2;1;2;1;2;2;1;40;2560;70;405;75;85;800000;6;55;Togetic;881;176;80;105;40;fairy;flying;32;2;0
['Synchronize', 'Early Bird', 'Magic Bounce'];1;2;1;2;1;25;1;1;2;5;0;2;1;1;5;2;1;1;50;5120;70;320;190;45;1000000;2;40;Natu;50;177;70;45;70;psychic;flying;20;2;0
['Synchronize', 'Early Bird', 'Magic Bounce'];1;2;1;2;1;25;1;1;2;5;0;2;1;1;5;2;1;1;75;5120;70;470;75;70;1000000;15;65;Xatu;50;178;95;70;95;psychic;flying;150;2;0
['Static', 'Plus'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;40;5120;70;280;235;40;1059860;6;55;Mareep;50;179;65;45;35;electric;;78;2;0
['Static', 'Plus'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;55;5120;70;365;120;55;1059860;8;70;Flaaffy;50;180;80;60;45;electric;;133;2;0
['Static', 'Plus'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;95;5120;70;610;45;105;1059860;14;90;Ampharos;50;181;165;110;45;electric;;615;2;0
['Chlorophyll', 'Healer'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;80;5120;70;490;45;95;1059860;4;75;Bellossom;50;182;90;100;50;grass;;58;2;0
['Thick Fat', 'Huge Power', 'Sap Sipper'];5;5;0;2;1;5;5;1;1;2;1;5;1;2;1;1;1;5;20;2560;70;250;190;50;800000;4;70;Marill;50;183;20;50;40;water;fairy;85;2;0
['Thick Fat', 'Huge Power', 'Sap Sipper'];5;5;0;2;1;5;5;1;1;2;1;5;1;2;1;1;1;5;50;2560;70;420;75;80;800000;8;100;Azumarill;50;184;60;80;50;water;fairy;285;2;0
['Sturdy', 'Rock Head', 'Rattled'];1;1;1;1;1;2;5;5;1;2;2;1;5;5;1;1;2;2;100;5120;70;410;65;115;1000000;12;70;Sudowoodo;50;185;30;65;30;rock;;380;2;0
['Water Absorb', 'Damp', 'Drizzle'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;75;5120;70;500;45;75;1059860;11;90;Politoed;50;186;90;100;70;water;;339;2;0
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;5;2;2;1;25;0;4;1;2;1;2;1;5;35;5120;70;250;255;40;1059860;4;35;Hoppip;50;187;35;55;50;grass;flying;5;2;0
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;5;2;2;1;25;0;4;1;2;1;2;1;5;45;5120;70;340;120;50;1059860;6;55;Skiploom;50;188;45;65;80;grass;flying;10;2;0
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;5;2;2;1;25;0;4;1;2;1;2;1;5;55;5120;70;460;45;70;1059860;8;75;Jumpluff;50;189;55;95;110;grass;flying;30;2;0
['Run Away', 'Pickup', 'Skill Link'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;5120;70;360;45;55;800000;8;55;Aipom;50;190;40;55;85;normal;;115;2;0
['Chlorophyll', 'Solar Power', 'Early Bird'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;30;5120;70;180;235;30;1059860;3;30;Sunkern;50;191;30;30;30;grass;;18;2;0
['Chlorophyll', 'Solar Power', 'Early Bird'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;75;5120;70;425;120;55;1059860;8;75;Sunflora;50;192;105;85;30;grass;;85;2;0
['Speed Boost', 'Compoundeyes', 'Frisk'];5;1;1;2;1;25;2;2;1;25;0;2;1;1;1;4;1;1;65;5120;70;390;75;45;1000000;12;65;Yanma;50;193;75;45;95;bug;flying;380;2;0
['Damp', 'Water Absorb', 'Unaware'];1;1;1;0;1;1;5;1;1;4;1;1;1;5;1;5;5;1;45;5120;70;210;255;45;1000000;4;55;Wooper;50;194;25;25;15;water;ground;85;2;0
['Damp', 'Water Absorb', 'Unaware'];1;1;1;0;1;1;5;1;1;4;1;1;1;5;1;5;5;1;85;5120;70;430;90;85;1000000;14;95;Quagsire;50;195;65;65;35;water;ground;750;2;0
['Synchronize', 'Magic Bounce'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;65;8960;70;525;45;60;1000000;9;65;Espeon;881;196;130;95;110;psychic;;265;2;0
['Synchronize', 'Inner Focus'];2;5;1;1;2;2;1;1;5;1;1;1;1;1;0;1;1;1;65;8960;35;525;45;110;1000000;10;95;Umbreon;881;197;60;130;65;dark;;270;2;0
['Insomnia', 'Super Luck', 'Prankster'];1;5;1;2;2;1;1;1;5;5;0;2;1;1;0;2;1;1;85;5120;35;405;30;42;1059860;5;60;Murkrow;50;198;85;42;91;dark;flying;21;2;0
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;5;5;1;2;2;1;5;1;1;5;1;5;5;75;5120;70;490;70;80;1000000;20;95;Slowking;50;199;100;110;30;water;psychic;795;2;0
['Levitate'];5;2;1;1;1;0;1;1;2;1;1;1;0;5;1;1;1;1;60;6400;35;435;45;60;800000;7;60;Misdreavus;50;200;85;85;85;ghost;;10;2;0
['Levitate'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;72;10240;70;336;225;48;1000000;5;48;Unown;;201;72;48;48;psychic;;50;2;0
['Shadow Tag', 'Telepathy'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;33;5120;70;405;45;58;1000000;13;190;Wobbuffet;50;202;33;58;33;psychic;;285;2;0
['Inner Focus', 'Early Bird', 'Sap Sipper'];2;2;1;1;1;1;1;1;0;1;1;1;1;1;5;1;1;1;80;5120;70;455;60;65;1000000;15;70;Girafarig;50;203;90;65;85;normal;psychic;415;2;0
['Sturdy', 'Overcoat'];1;1;1;1;1;5;2;2;1;5;5;1;1;1;1;2;1;1;65;5120;70;290;190;90;1000000;6;50;Pineco;50;204;35;35;15;bug;;72;2;0
['Sturdy', 'Overcoat'];5;1;5;1;5;1;4;1;1;25;1;5;5;0;5;1;5;1;90;5120;70;465;75;140;1000000;12;75;Forretress;50;205;60;60;40;bug;steel;1258;2;0
['Serene Grace', 'Run Away', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;5120;70;415;190;70;1000000;15;100;Dunsparce;50;206;65;65;45;normal;;140;2;0
['Hyper Cutter', 'Sand Veil', 'Immunity'];5;1;1;0;1;5;1;1;1;1;0;4;1;5;1;1;1;2;75;5120;70;430;60;105;1059860;11;65;Gligar;50;207;35;65;85;ground;flying;648;2;0
['Rock Head', 'Sturdy', 'Sheer Force'];5;1;5;0;5;2;2;5;1;1;2;1;5;0;5;25;5;2;125;6400;70;610;25;230;1000000;92;75;Steelix;50;208;55;95;30;steel;ground;4000;2;0
['Intimidate', 'Run Away', 'Rattled'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;80;5120;70;300;190;50;800000;6;60;Snubbull;246;209;40;40;30;fairy;;78;2;0
['Intimidate', 'Quick Feet', 'Rattled'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;120;5120;70;450;75;75;800000;14;90;Granbull;246;210;60;60;45;fairy;;487;2;0
['Poison Point', 'Swift Swim', 'Intimidate'];5;1;1;2;5;5;5;1;1;1;2;5;1;5;2;1;5;5;95;5120;70;440;45;85;1000000;5;65;Qwilfish;50;211;55;55;85;water;poison;39;2;0
['Swarm', 'Technician', 'Light Metal'];5;1;5;1;5;1;4;1;1;25;1;5;5;0;5;1;5;1;150;6400;70;600;25;140;1000000;18;70;Scizor;50;212;65;100;75;bug;steel;1180;2;0
['Sturdy', 'Gluttony', 'Contrary'];1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;2;2;2;10;5120;70;505;190;230;1059860;6;20;Shuckle;50;213;10;230;5;bug;rock;205;2;0
['Swarm', 'Guts', 'Moxie'];5;5;1;1;2;5;2;4;1;5;5;1;1;1;2;1;1;1;185;6400;70;600;45;115;1250000;15;80;Heracross;50;214;40;105;75;bug;fighting;540;2;0
['Inner Focus', 'Keen Eye', 'Pickpocket'];2;5;1;1;2;4;2;1;5;1;1;5;1;1;0;2;2;1;95;5120;35;430;60;55;1059860;9;55;Sneasel;50;215;35;75;115;dark;ice;280;2;0
['Pickup', 'Quick Feet', 'Honey Gather'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;330;120;50;1000000;6;60;Teddiursa;50;216;50;50;40;normal;;88;2;0
['Guts', 'Quick Feet', 'Unnerve'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;130;5120;70;500;60;75;1000000;18;90;Ursaring;50;217;75;75;55;normal;;1258;2;0
['Magma Armor', 'Flame Body', 'Weak Armor'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;40;5120;70;250;190;40;1000000;7;40;Slugma;50;218;70;40;20;fire;;350;2;0
['Magma Armor', 'Flame Body', 'Weak Armor'];5;1;1;1;5;2;25;5;1;1;4;5;5;5;1;2;1;4;50;5120;70;430;75;120;1000000;8;60;Magcargo;50;219;90;80;30;fire;rock;550;2;0
['Oblivious', 'Snow Cloak', 'Thick Fat'];1;1;1;0;1;2;2;1;1;2;1;1;1;5;1;1;2;2;50;5120;70;250;225;40;1250000;4;50;Swinub;50;220;30;30;50;ice;ground;65;2;0
['Oblivious', 'Snow Cloak', 'Thick Fat'];1;1;1;0;1;2;2;1;1;2;1;1;1;5;1;1;2;2;100;5120;70;450;75;80;1250000;11;100;Piloswine;50;221;60;60;50;ice;ground;558;2;0
['Hustle', 'Natural Cure', 'Regenerator'];1;1;1;2;1;2;25;5;1;4;2;5;5;5;1;1;1;1;55;5120;70;410;60;95;800000;6;65;Corsola;246;222;65;95;35;water;rock;50;2;0
['Hustle', 'Sniper', 'Moody'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;5120;70;300;190;35;1000000;6;35;Remoraid;50;223;65;35;65;water;;120;2;0
['Suction Cups', 'Sniper', 'Moody'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;105;5120;70;480;75;75;1000000;9;75;Octillery;50;224;105;75;45;water;;285;2;0
['Vital Spirit', 'Hustle', 'Insomnia'];5;1;1;2;1;1;2;1;1;5;0;1;1;1;1;4;2;1;55;5120;70;330;45;45;800000;9;45;Delibird;50;225;65;45;75;ice;flying;160;2;0
['Swift Swim', 'Water Absorb', 'Water Veil'];5;1;1;4;1;5;5;1;1;1;0;1;1;1;1;2;5;5;40;6400;70;485;25;70;1250000;21;85;Mantine;50;226;80;140;70;water;flying;2200;2;0
['Keen Eye', 'Sturdy', 'Weak Armor'];25;1;5;2;5;1;2;5;1;25;0;1;5;0;5;1;5;1;80;6400;70;465;25;140;1250000;17;65;Skarmory;50;227;40;70;70;steel;flying;505;2;0
['Early Bird', 'Flash Fire', 'Unnerve'];1;5;1;1;1;2;5;1;5;5;2;5;1;1;0;2;5;2;60;5120;35;330;120;30;1250000;6;45;Houndour;50;228;80;50;65;dark;fire;108;2;0
['Early Bird', 'Flash Fire', 'Unnerve'];1;5;1;1;1;2;5;1;5;5;2;5;1;1;0;2;5;2;90;5120;35;600;45;90;1250000;14;75;Houndoom;50;229;140;90;115;dark;fire;350;2;0
['Swift Swim', 'Sniper', 'Damp'];1;1;2;1;2;1;25;1;1;1;1;1;1;1;1;1;5;25;95;5120;70;540;45;95;1000000;18;75;Kingdra;50;230;95;95;85;water;dragon;1520;2;0
['Pickup', 'Sand Veil'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;60;5120;70;330;120;60;1000000;5;90;Phanpy;50;231;40;40;40;ground;;335;2;0
['Sturdy', 'Sand Veil'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;120;5120;70;500;60;120;1000000;11;90;Donphan;50;232;60;60;50;ground;;1200;2;0
['Trace', 'Download', 'Analytic'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;515;45;90;1000000;6;85;Porygon2;;233;105;95;60;normal;;325;2;0
['Intimidate', 'Frisk', 'Sap Sipper'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;95;5120;70;465;45;62;1250000;14;73;Stantler;50;234;85;65;85;normal;;712;2;0
['Own Tempo', 'Technician', 'Moody'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;20;5120;70;250;45;35;800000;12;55;Smeargle;50;235;20;45;75;normal;;580;2;0
['Guts', 'Steadfast', 'Vital Spirit'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;35;6400;70;210;75;35;1000000;7;35;Tyrogue;100;236;35;35;35;fighting;;210;2;0
['Intimidate', 'Technician', 'Steadfast'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;95;6400;70;455;45;95;1000000;14;50;Hitmontop;100;237;35;110;70;fighting;;480;2;0
['Oblivious', 'Forewarn', 'Hydration'];2;2;1;1;1;1;2;1;2;1;1;5;1;1;5;2;2;1;30;6400;70;305;45;15;1000000;4;45;Smoochum;0;238;85;65;65;ice;psychic;60;2;0
['Static', 'Vital Spirit'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;63;6400;70;360;45;37;1000000;6;45;Elekid;754;239;65;55;95;electric;;235;2;0
['Flame Body', 'Vital Spirit'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;75;6400;70;365;45;37;1000000;7;45;Magby;754;240;70;55;83;fire;;214;2;0
['Thick Fat', 'Scrappy', 'Sap Sipper'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;490;45;105;1250000;12;95;Miltank;0;241;40;70;100;normal;;755;2;0
['Natural Cure', 'Serene Grace', 'Healer'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;10;10240;140;540;30;10;800000;15;255;Blissey;0;242;75;135;55;normal;;468;2;0
['Pressure', 'Inner Focus'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;85;20480;35;580;3;75;1250000;19;90;Raikou;;243;115;100;115;electric;;1780;2;1
['Pressure', 'Inner Focus'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;115;20480;35;580;3;85;1250000;21;115;Entei;;244;90;75;100;fire;;1980;2;1
['Pressure', 'Inner Focus'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;75;20480;35;580;3;115;1250000;20;100;Suicune;;245;90;115;85;water;;1870;2;1
['Guts', 'Sand Veil'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;64;10240;35;300;45;50;1250000;6;50;Larvitar;50;246;45;50;41;rock;ground;720;2;0
['Shed Skin'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;84;10240;35;410;45;70;1250000;12;70;Pupitar;50;247;65;70;51;rock;ground;1520;2;0
['Sand Stream', 'Unnerve'];2;5;1;1;2;4;5;5;5;2;2;1;5;5;0;1;2;2;164;10240;35;700;45;150;1250000;20;100;Tyranitar;50;248;95;120;71;rock;dark;2020;2;0
['Pressure', 'Multiscale'];1;2;1;2;1;25;1;1;2;5;0;2;1;1;5;2;1;1;90;30720;0;680;3;130;1250000;52;106;Lugia;;249;90;154;110;psychic;flying;2160;2;1
['Pressure', 'Regenerator'];25;1;1;2;5;5;5;1;1;25;0;1;1;1;1;4;5;2;130;30720;0;680;3;90;1250000;38;106;Ho-Oh;;250;110;154;90;fire;flying;1990;2;1
['Natural Cure'];4;2;1;5;1;5;2;2;2;5;5;2;1;2;5;1;1;5;100;30720;100;600;45;100;1059860;6;100;Celebi;;251;100;100;100;psychic;grass;50;2;1
['Overgrow', 'Unburden'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;45;5120;70;310;45;35;1059860;5;40;Treecko;881;252;65;55;70;grass;;50;3;0
['Overgrow', 'Unburden'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;65;5120;70;405;45;45;1059860;9;50;Grovyle;881;253;85;65;95;grass;;216;3;0
['Overgrow', 'Unburden'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;110;5120;70;630;45;75;1059860;17;70;Sceptile;881;254;145;85;145;grass;;522;3;0
['Blaze', 'Speed Boost'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;60;5120;70;310;45;40;1059860;4;45;Torchic;881;255;70;50;45;fire;;25;3;0
['Blaze', 'Speed Boost'];25;5;1;1;1;1;5;2;1;5;2;5;1;1;2;1;5;2;85;5120;70;405;45;60;1059860;9;60;Combusken;881;256;85;60;55;fire;fighting;195;3;0
['Blaze', 'Speed Boost'];25;5;1;1;1;1;5;2;1;5;2;5;1;1;2;1;5;2;160;5120;70;630;45;80;1059860;19;80;Blaziken;881;257;130;80;100;fire;fighting;520;3;0
